Instancia   |    Otimo | VMP+2opt |   gap% | IMB+OrOpt |   gap% |       AG |   gap% | Memetico |   gap%
------------+----------+----------+--------+-----------+--------+----------+--------+----------+-------
PROBLEMA_01 |  1942.30 |  1986.20 |  2.26% |   2277.80 | 17.27% |  1974.80 |  1.67% |  1942.30 | -0.00%
PROBLEMA_02 |  1973.00 |  1990.00 |  0.86% |   2124.00 |  7.65% |  2006.00 |  1.67% |  1973.00 |  0.00%
PROBLEMA_03 |  1705.60 |  1721.80 |  0.95% |   1753.20 |  2.79% |  1698.70 | -0.40% |  1695.00 | -0.62%
PROBLEMA_04 |  1664.00 |  1684.00 |  1.20% |   1849.00 | 11.12% |  1663.00 | -0.06% |  1662.00 | -0.12%
PROBLEMA_05 |  1321.00 |  1333.60 |  0.95% |   1352.50 |  2.38% |  1321.00 |  0.00% |  1321.00 |  0.00%
PROBLEMA_06 |  1223.00 |  1234.00 |  0.90% |   1260.00 |  3.03% |  1223.00 |  0.00% |  1223.00 |  0.00%
PROBLEMA_07 |   672.70 |   672.70 |  0.00% |    672.70 |  0.00% |   672.70 | -0.00% |   672.70 | -0.00%
PROBLEMA_08 |   606.00 |   606.00 |  0.00% |    609.00 |  0.50% |   606.00 |  0.00% |   606.00 |  0.00%
PROBLEMA_09 |   438.30 |   438.30 |  0.00% |    438.30 |  0.00% |   438.30 |  0.00% |   438.30 |  0.00%
PROBLEMA_10 |   364.00 |   364.00 |  0.00% |    364.00 |  0.00% |   364.00 |  0.00% |   364.00 |  0.00%
PROBLEMA_11 |   344.90 |   348.30 |  0.99% |    348.30 |  0.99% |   344.90 |  0.00% |   344.90 |  0.00%
PROBLEMA_12 |   305.00 |   305.00 |  0.00% |    305.00 |  0.00% |   305.00 |  0.00% |   305.00 |  0.00%
